hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage,Num,food
"DSF Fast Food",4.4,45,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American","Kandivali West",not_available,0,4," Fast Food"
"DSF Fast Food",4.4,45,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American","Kandivali West",not_available,0,5," Snacks"
"DSF Fast Food",4.4,45,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American","Kandivali West",not_available,0,6," Italian"
"DSF Fast Food",4.4,45,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American","Kandivali West",not_available,0,7," American"
"Jai Shree Radhe Krishna Soda Pub",4.4,42,Beverages,"Kandivali West",not_available,0,1,Beverages
"Tea Pea Cafe",4.3,45,"Beverages, Italian-American, Fast Food, Snacks, Waffle","Kandivali East",not_available,0,1,Beverages
"Tea Pea Cafe",4.3,45,"Beverages, Italian-American, Fast Food, Snacks, Waffle","Kandivali East",not_available,0,2," Italian-American"
"Tea Pea Cafe",4.3,45,"Beverages, Italian-American, Fast Food, Snacks, Waffle","Kandivali East",not_available,0,3," Fast Food"
"Tea Pea Cafe",4.3,45,"Beverages, Italian-American, Fast Food, Snacks, Waffle","Kandivali East",not_available,0,4," Snacks"
"Tea Pea Cafe",4.3,45,"Beverages, Italian-American, Fast Food, Snacks, Waffle","Kandivali East",not_available,0,5," Waffle"
"Uncle Chinese Corner",4.1,44,"Indian, Fast Food","Kandivali West",not_available,0,1,Indian
"Uncle Chinese Corner",4.1,44,"Indian, Fast Food","Kandivali West",not_available,0,2," Fast Food"
"Flavorish The Gourmet Cake Shop",4.1,48,Bakery,"Kandivali East",250,50,1,Bakery
"Peek and boo",4.1,52,"Snacks, Fast Food","Kandivali West",not_available,0,1,Snacks
"Peek and boo",4.1,52,"Snacks, Fast Food","Kandivali West",not_available,0,2," Fast Food"
"Delecious The Family Restaurant",4.39,41,"Indian, Chinese","Kandivali West",not_available,0,1,Indian
"Delecious The Family Restaurant",4.39,41,"Indian, Chinese","Kandivali West",not_available,0,2," Chinese"
"Jaianti Biryani",4.5,57,"Biryani, North Indian, Salads, Hyderabadi",Borivali,150,30,1,Biryani
"Jaianti Biryani",4.5,57,"Biryani, North Indian, Salads, Hyderabadi",Borivali,150,30,2," North Indian"
"Jaianti Biryani",4.5,57,"Biryani, North Indian, Salads, Hyderabadi",Borivali,150,30,3," Salads"
"Jaianti Biryani",4.5,57,"Biryani, North Indian, Salads, Hyderabadi",Borivali,150,30,4," Hyderabadi"
"Hunger bell",4.1,52,"Snacks, Chinese, Tandoor, North Indian","Kandivali West",not_available,0,1,Snacks
"Hunger bell",4.1,52,"Snacks, Chinese, Tandoor, North Indian","Kandivali West",not_available,0,2," Chinese"
"Hunger bell",4.1,52,"Snacks, Chinese, Tandoor, North Indian","Kandivali West",not_available,0,3," Tandoor"
