hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage,Num,food
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,5," Snacks"
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,6," Biryani"
"Swadisht Desi",4.1,52,"Burgers, Pizzas, Chinese, Beverages","Kandivali West",999,not_available,1,Burgers
"Swadisht Desi",4.1,52,"Burgers, Pizzas, Chinese, Beverages","Kandivali West",999,not_available,2," Pizzas"
"Swadisht Desi",4.1,52,"Burgers, Pizzas, Chinese, Beverages","Kandivali West",999,not_available,3," Chinese"
"Swadisht Desi",4.1,52,"Burgers, Pizzas, Chinese, Beverages","Kandivali West",999,not_available,4," Beverages"
"Latte on the rocks",4.7,52,"Beverages, Snacks, Fast Food","Kandivali West",not_available,0,1,Beverages
"Latte on the rocks",4.7,52,"Beverages, Snacks, Fast Food","Kandivali West",not_available,0,2," Snacks"
"Latte on the rocks",4.7,52,"Beverages, Snacks, Fast Food","Kandivali West",not_available,0,3," Fast Food"
"Mondo Fine Dine",3.9,64,"Italian, Indian","Kandivali West",not_available,0,1,Italian
"Mondo Fine Dine",3.9,64,"Italian, Indian","Kandivali West",not_available,0,2," Indian"
"Lobo Tiffin Service",4.3,47,Indian,"Kandivali East",not_available,0,1,Indian
"Red Chilly Chinese Cuisine",4.1,52,Indian,"Kandivali West",150,30,1,Indian
"Tina's Fried Chicken",4.5,40,"Indian, Chinese",Borivali,not_available,0,1,Indian
"Tina's Fried Chicken",4.5,40,"Indian, Chinese",Borivali,not_available,0,2," Chinese"
"Om Namo Fast Food",4.5,42,"Fast Food, Chaat",Borivali,not_available,0,1,"Fast Food"
"Om Namo Fast Food",4.5,42,"Fast Food, Chaat",Borivali,not_available,0,2," Chaat"
"Y.T kitchen",4.3,41,"Italian, Snacks, Mexican","Kandivali East",not_available,0,1,Italian
"Y.T kitchen",4.3,41,"Italian, Snacks, Mexican","Kandivali East",not_available,0,2," Snacks"
"Y.T kitchen",4.3,41,"Italian, Snacks, Mexican","Kandivali East",not_available,0,3," Mexican"
